Country,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Gabon,159,273,134,74,182,197,156,216,238,353,466,692,1141,1693,2016
Gambia,170,262,289,440,151,240,403,424,150,426,153,192,259,275,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,2200,2506,2855,3259,3859,3378,3889,4622,3125,2037,1575,2103,2376,1717,6108
Guatemala,1,1,0,0,0,0,0,0,2,4,2,0,0,0,0
Guinea,1067,108,979,743,735,586,441,472,0,490,528,586,440,517,626
Guinea-Bissau,357,418,370,472,296,369,487,370,507,565,565,1137,780,635,0
Guyana,11,14,35,36,24,20,11,0,20,33,38,44,28,30,29
Haiti,9,10,6,5,8,7,17,28,32,29,24,109,77,70,16
Honduras,2,1,1,2,3,1,2,0,0,1,0,0,0,0,0
India,561,440,519,754,1018,1144,1055,1311,1708,963,949,1006,973,1015,892
Indonesia,64,45,252,388,432,900,669,0,494,88,508,0,0,0,833
Iran(IslamicRepublicof),0,2,0,0,2,0,3,3,1,1,1,5,2,2,4
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,472,360,785,713,26017,0,0,0,40079,44328,25403,51842,47697,48286,48767
Kyrgyzstan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LaoPeople'sDemocraticRepublic,4,28,44,17,24,5,11,14,21,77,105,187,195,242,350
Liberia,2288,1191,1725,0,1422,1706,345,310,877,41,0,0,0,0,0
Madagascar,551,641,552,398,427,348,355,428,441,699,715,817,575,742,591
Malawi,4490,3723,5516,6674,8206,8915,8048,7486,6464,5070,3457,4767,5775,3355,0
Malaysia,9,14,16,18,33,26,30,18,21,33,35,21,38,46,35
Mali,2309,1680,1894,2128,3006,2331,1227,1782,1914,1285,1012,1309,826,562,748
Mauritania,19,25,106,77,211,91,0,142,67,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique,3245,2941,2818,3086,3354,3747,4424,5816,0,0,0,0,0,0,0
Myanmar,92,236,403,581,788,972,1087,1261,1647,1707,1982,2476,2634,2814,2556
Namibia,61,21,4,36,63,68,152,181,571,1325,1185,1106,1504,1728,0
Nepal,0,0,0,2,6,8,0,3,42,10,7,5,3,1,0
Nicaragua,0,0,2,1,1,0,0,0,1,6,1,7,8,2,4
Niger,2691,2209,2825,2802,3929,2159,2461,1358,1150,2060,1333,2248,2769,2366,1244
Nigeria,6082,7878,7734,3353,4238,7522,8677,10289,6586,6494,6032,5343,4092,4317,0
Oman,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Pakistan,56,244,260,4,0,0,0,24,9,52,0,0,0,0,0
Panama,0,0,1,0,1,0,1,1,1,1,2,4,2,1,1
PapuaNewGuinea,203,307,381,523,616,604,628,559,668,725,619,537,647,562,617
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,4,4,7,1,0,2,2,2,6,4,6,9,12,25,20
Philippines,10,12,16,12,30,24,56,73,124,145,167,162,71,439,536
RepublicofKorea,0,2,0,2,2,1,0,1,0,0,0,0,0,0,0
RussianFederation,0,0,0,1,1,1,2,3,4,3,5,4,2,3,2
Rwanda,496,409,459,380,670,809,566,1772,2486,2581,2362,2679,3167,4275,0
SaoTomeandPrincipe,0,11,7,19,14,23,16,3,26,85,169,193,321,248,254
SaudiArabia,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
Senegal,500,815,649,472,553,574,741,1935,1678,1587,1524,1602,1226,1515,1275
SierraLeone,2848,4326,3611,3573,8188,1734,871,324,90,50,126,157,461,328,0
SolomonIslands,23,18,18,19,34,53,21,15,12,38,51,71,61,55,38
Somalia,14,23,10,5,6,45,49,45,58,15,79,54,8,0,0
SouthAfrica,174,105,72,54,83,45,43,37,87,63,88,142,96,81,424
SouthSudan,0,1311,1321,406,1053,254,263,0,0,0,0,0,0,0,0
SriLanka,0,0,0,0,0,1,0,1,1,0,1,4,30,52,77
Sudan,823,685,618,612,1023,1142,1125,1254,1193,1789,1814,2479,2125,2252,2162
Suriname,0,1,0,1,1,0,0,1,1,1,7,18,15,23,24
Swaziland,4,4,3,1,8,13,10,17,27,17,28,30,46,62,0
SyrianArabRepublic,4,1,1,0,0,1,1,1,2,2,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,38,47,37,43,80,70,101,97,113,161,230,204,361,424,625
Timor-Leste,1,3,3,16,58,53,33,60,68,71,65,0,0,0,0
Togo,1205,1361,1197,1314,1507,1556,2663,1236,819,1024,1183,1130,1661,1394,0
Turkey,1,3,0,4,0,1,3,1,0,0,0,0,0,0,0
Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,5921,7277,6585,5958,8431,6296,2372,7003,4252,0,0,0,0,0,0
UnitedRepublicofTanzania,5373,8528,7820,11806,15867,16776,12434,12593,20962,18322,19859,15251,815,1228,379
Uzbekistan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vanuatu,0,0,0,1,1,2,4,5,1,5,3,14,13,4,3
Venezuela(BolivarianRepublicof),5,6,10,16,18,11,9,16,11,17,35,40,23,28,24
VietNam,6,6,8,14,21,26,25,20,41,18,34,50,50,91,142
Yemen,19,55,72,75,92,38,0,0,73,0,0,0,0,0,0
Zambia,3257,3548,3705,4540,4834,3862,3781,6183,6484,7737,8289,9178,9021,9369,0
Zimbabwe,406,352,351,451,255,108,232,401,802,1916,1809,1044,1844,0,0
